x y
998.4628778533137 589.0844612567793
399.064488135742 1284.5054524600612
1218.3605296004334 395.1762968828377
1305.0751335526718 896.8945536009314
1201.264437866257 403.68107843575274
288.2016303465158 297.6604873364279
1398.475177085983 797.0754127338073
1314.1004571863284 897.4832841668299
1003.4608577297039 614.4119145982403
384.4019786502458 1302.878606278571
288.0963625557422 299.19649467912114
1398.3733760592609 794.3959481412819
1022.8705648411882 607.2707369944166
1196.5574872169084 394.532837666032
302.18661176552666 294.26272817569924
1288.0204236536642 904.5702557560048
1301.433807854039 889.9544544379681
1402.6105684236954 805.5731827432517
302.20668062872176 292.4191434703007
310.4681758740034 293.88546156646976
1312.405804644103 887.8762521650932
394.66434495513647 1301.0135055229555
989.9173368960353 602.2887932734473
1393.6117163365577 796.6240568610824
1383.2187947287953 814.5659965714881
410.6872035033105 1301.4761968186815
393.92015031183047 1300.3764424746641
1394.7485095565178 806.4697470384234
1312.5246831471106 898.379495887165
1421.243317054399 805.7266680127259
414.21842255507954 1306.5928986255674
396.149425743784 1303.4418250402084
1007.5397773169014 602.7188036170061
303.8861311986041 303.84437400522046
1200.5523798247061 398.7738831322345
395.1729525960662 1314.5615808556918
1195.4554143305868 404.79002157142406
996.0482743883682 603.5298064267598
1189.5044297984236 387.93681688100816
291.1402303547585 314.5994181380793
1296.6356547730425 904.698106924517
1186.4649720922132 404.11593639715994
1389.5705903792318 802.5551265749951
399.80113048169017 1320.9883849911087
1409.5007224793287 806.9698717208817
1306.619146118515 890.0406030017134
991.0398683432987 604.4764332222856
294.3740257250321 296.41180974505875
1298.0497278009257 885.9934904194164
297.8440151171975 292.9513246595864
1292.2935218693192 905.7486263780556
1006.0875155894247 593.5537244374394
406.71390152304616 1287.3846439358267
1396.12528443808 797.2603996373188
1195.9726112200199 402.60835907527377
1193.9285462547991 386.45333406831963
1002.1595731731119 594.8340503350457
302.18303854657194 301.25140932119075
1024.7689272069285 588.8458897625084
1194.935839639293 391.242004160024
